   Line    |    Original     |       New       |   Improvement   |   Multiplier   
   1111    |       243       |       207       | 14.81% |      1.17x     
   1112    |       304       |       18        | 94.08% |     16.89x     
   1113    |       256       |        1        | 99.61% |     256.00x    
   1114    |        1        |        1        | 0.00% |      1.00x     
   1115    |        1        |        1        | 0.00% |      1.00x     
   1116    |       631       |       101       | 83.99% |      6.25x     
   1117    |       209       |       206       | 1.44% |      1.01x     
   1118    |       256       |        1        | 99.61% |     256.00x    
   1119    |       80        |       80        | 0.00% |      1.00x     
   1120    |        1        |        1        | 0.00% |      1.00x     
   1121    |       365       |       33        | 90.96% |     11.06x     
   1122    |        1        |        1        | 0.00% |      1.00x     
   1123    |        1        |        1        | 0.00% |      1.00x     
   1124    |        1        |        1        | 0.00% |      1.00x     
   1125    |        1        |        1        | 0.00% |      1.00x     
   1126    |       712       |       125       | 82.44% |      5.70x     
   1127    |        1        |        1        | 0.00% |      1.00x     
   1128    |       330       |       23        | 93.03% |     14.35x     
   1129    |        1        |        1        | 0.00% |      1.00x     
   1130    |        3        |        3        | 0.00% |      1.00x     
   1131    |        1        |        1        | 0.00% |      1.00x     
   1132    |       22        |       22        | 0.00% |      1.00x     
   1133    |       484       |       63        | 86.98% |      7.68x     
   1134    |        1        |        1        | 0.00% |      1.00x     
   1135    |       325       |       45        | 86.15% |      7.22x     
   1136    |       364       |       35        | 90.38% |     10.40x     
   1137    |       291       |       13        | 95.53% |     22.38x     
   1138    |        1        |        1        | 0.00% |      1.00x     
   1139    |        1        |        1        | 0.00% |      1.00x     
   1140    |        1        |        1        | 0.00% |      1.00x     
   1141    |       702       |       116       | 83.48% |      6.05x     
   1142    |        1        |        1        | 0.00% |      1.00x     
   1143    |       406       |       39        | 90.39% |     10.41x     
   1144    |       298       |       16        | 94.63% |     18.62x     
   1145    |        1        |        1        | 0.00% |      1.00x     
   1146    |        4        |        4        | 0.00% |      1.00x     
   1147    |        1        |        1        | 0.00% |      1.00x     
   1148    |        1        |        1        | 0.00% |      1.00x     
   1149    |       409       |       43        | 89.49% |      9.51x     
   1150    |       331       |       20        | 93.96% |     16.55x     
   1151    |       227       |       210       | 7.49% |      1.08x     
   1152    |        1        |        1        | 0.00% |      1.00x     
   1153    |       111       |       111       | 0.00% |      1.00x     
   1154    |        1        |        1        | 0.00% |      1.00x     
   1155    |        1        |        1        | 0.00% |      1.00x     
   1156    |       559       |       84        | 84.97% |      6.65x     
   1157    |       287       |       18        | 93.73% |     15.94x     
   1158    |        1        |        1        | 0.00% |      1.00x     
   1159    |        1        |        1        | 0.00% |      1.00x     
   1160    |       408       |       41        | 89.95% |      9.95x     
   1161    |       287       |       17        | 94.08% |     16.88x     
   1162    |        1        |        1        | 0.00% |      1.00x     
   1163    |       405       |       37        | 90.86% |     10.95x     
   1164    |       288       |       18        | 93.75% |     16.00x     
   1165    |       406       |       39        | 90.39% |     10.41x     
   1166    |       304       |       21        | 93.09% |     14.48x     
   1167    |        1        |        1        | 0.00% |      1.00x     
   1168    |       292       |       32        | 89.04% |      9.12x     
   1169    |        1        |        1        | 0.00% |      1.00x     
   1170    |       563       |       87        | 84.55% |      6.47x     
   1171    |       288       |       18        | 93.75% |     16.00x     
   1172    |       406       |       39        | 90.39% |     10.41x     
   1173    |       344       |       65        | 81.10% |      5.29x     
   1174    |       583       |       103       | 82.33% |      5.66x     
   1175    |        5        |        5        | 0.00% |      1.00x     
   1176    |       411       |       45        | 89.05% |      9.13x     
   1177    |        1        |        1        | 0.00% |      1.00x     
   1178    |       345       |       36        | 89.57% |      9.58x     
   1179    |       402       |       58        | 85.57% |      6.93x     
   1180    |       352       |       54        | 84.66% |      6.52x     
   1181    |       557       |       82        | 85.28% |      6.79x     
   1182    |       409       |       87        | 78.73% |      4.70x     
   1183    |        1        |        1        | 0.00% |      1.00x     
   1184    |        1        |        1        | 0.00% |      1.00x     
   1185    |       274       |       19        | 93.07% |     14.42x     
   1186    |        1        |        1        | 0.00% |      1.00x     
   1187    |       711       |       126       | 82.28% |      5.64x     
   1188    |       269       |       15        | 94.42% |     17.93x     
   1189    |        1        |        1        | 0.00% |      1.00x     
   1190    |       296       |       78        | 73.65% |      3.79x     
   1191    |        1        |        1        | 0.00% |      1.00x     
   1192    |        1        |        1        | 0.00% |      1.00x     
   1193    |       561       |       86        | 84.67% |      6.52x     
   1194    |       281       |       62        | 77.94% |      4.53x     
   1195    |        1        |        1        | 0.00% |      1.00x     
   1196    |       117       |       116       | 0.85% |      1.01x     
   1197    |        1        |        1        | 0.00% |      1.00x     
   1198    |        1        |        1        | 0.00% |      1.00x     
   1199    |       565       |       90        | 84.07% |      6.28x     
   1200    |        7        |        7        | 0.00% |      1.00x     
   1201    |        1        |        1        | 0.00% |      1.00x     
   1202    |       329       |       19        | 94.22% |     17.32x     
   1203    |       256       |        1        | 99.61% |     256.00x    
   1204    |       256       |        1        | 99.61% |     256.00x    
   1205    |       256       |       55        | 78.52% |      4.65x     
   1206    |        7        |        7        | 0.00% |      1.00x     
   1207    |       163       |       162       | 0.61% |      1.01x     
   1208    |        1        |        1        | 0.00% |      1.00x     
   1209    |       781       |       138       | 82.33% |      5.66x     
   1210    |        1        |        1        | 0.00% |      1.00x     
   1211    |       256       |        1        | 99.61% |     256.00x    
   1212    |       256       |       46        | 82.03% |      5.57x     
   1213    |       256       |        1        | 99.61% |     256.00x    
   1214    |       256       |       114       | 55.47% |      2.25x     
   1215    |       85        |       85        | 0.00% |      1.00x     
   1216    |       256       |        1        | 99.61% |     256.00x    
   1217    |       184       |       183       | 0.54% |      1.01x     
   1218    |       256       |       10        | 96.09% |     25.60x     
   1219    |       22        |       22        | 0.00% |      1.00x     
   1220    |        1        |        1        | 0.00% |      1.00x     
   1221    |        1        |        1        | 0.00% |      1.00x     
   1222    |        1        |        1        | 0.00% |      1.00x     
   1223    |      1010       |       204       | 79.80% |      4.95x     
   1224    |        1        |        1        | 0.00% |      1.00x     
   1225    |       331       |       21        | 93.66% |     15.76x     
   1226    |       412       |       46        | 88.83% |      8.96x     
   1227    |       256       |        1        | 99.61% |     256.00x    
   1228    |       449       |       64        | 85.75% |      7.02x     
   1229    |        1        |        1        | 0.00% |      1.00x     
   1230    |       486       |       65        | 86.63% |      7.48x     
   1231    |       452       |       66        | 85.40% |      6.85x     
   1232    |        6        |        6        | 0.00% |      1.00x     
   1233    |       323       |       24        | 92.57% |     13.46x     
   1234    |        1        |        1        | 0.00% |      1.00x     
   1235    |        1        |        1        | 0.00% |      1.00x     
   1236    |       482       |       62        | 87.14% |      7.77x     
   1237    |       351       |       31        | 91.17% |     11.32x     
   1238    |       366       |       70        | 80.87% |      5.23x     
   1239    |       483       |       62        | 87.16% |      7.79x     
   1240    |       371       |       71        | 80.86% |      5.23x     
   1241    |        1        |        1        | 0.00% |      1.00x     
   1242    |       398       |       54        | 86.43% |      7.37x     
   1243    |       489       |       65        | 86.71% |      7.52x     
   1244    |       540       |       111       | 79.44% |      4.86x     
   1245    |       338       |       28        | 91.72% |     12.07x     
   1246    |       356       |       58        | 83.71% |      6.14x     
   1247    |        1        |        1        | 0.00% |      1.00x     
   1248    |       358       |       44        | 87.71% |      8.14x     
   1249    |       272       |        7        | 97.43% |     38.86x     
   1250    |        1        |        1        | 0.00% |      1.00x     
   1251    |        1        |        1        | 0.00% |      1.00x     
   1252    |       557       |       81        | 85.46% |      6.88x     
   1253    |       276       |       12        | 95.65% |     23.00x     
   1254    |       326       |       92        | 71.78% |      3.54x     
   1255    |       10        |       10        | 0.00% |      1.00x     
   1256    |        1        |        1        | 0.00% |      1.00x     
   1257    |        1        |        1        | 0.00% |      1.00x     
   1258    |       401       |       36        | 91.02% |     11.14x     
   1259    |       281       |       42        | 85.05% |      6.69x     
   1260    |       538       |       112       | 79.18% |      4.80x     
   1261    |       10        |       10        | 0.00% |      1.00x     
   1262    |        1        |        1        | 0.00% |      1.00x     
   1263    |        1        |        1        | 0.00% |      1.00x     
   1264    |       411       |       46        | 88.81% |      8.93x     
   1265    |       398       |       59        | 85.18% |      6.75x     
   1266    |       16        |       16        | 0.00% |      1.00x     
   1267    |       412       |       47        | 88.59% |      8.77x     
   1268    |       151       |       150       | 0.66% |      1.01x     
   1269    |        1        |        1        | 0.00% |      1.00x     
   1270    |       253       |       150       | 40.71% |      1.69x     
   1271    |       256       |       15        | 94.14% |     17.07x     
   1272    |       209       |       203       | 2.87% |      1.03x     
   1273    |       256       |        1        | 99.61% |     256.00x    
   1274    |       35        |       35        | 0.00% |      1.00x     
   1275    |        1        |        1        | 0.00% |      1.00x     
   1276    |        1        |        1        | 0.00% |      1.00x     
   1277    |        1        |        1        | 0.00% |      1.00x     
   1278    |      1000       |       207       | 79.30% |      4.83x     
   1279    |       309       |       12        | 96.12% |     25.75x     
   1280    |       304       |       19        | 93.75% |     16.00x     
   1281    |        1        |        1        | 0.00% |      1.00x     
   1282    |        1        |        1        | 0.00% |      1.00x     
   1283    |       635       |       104       | 83.62% |      6.11x     
   1284    |        1        |        1        | 0.00% |      1.00x     
   1285    |        1        |        1        | 0.00% |      1.00x     
   1286    |       54        |       54        | 0.00% |      1.00x     
   1287    |        1        |        1        | 0.00% |      1.00x     
   1288    |       198       |       193       | 2.53% |      1.03x     
   1289    |        1        |        1        | 0.00% |      1.00x     
   1290    |       255       |       128       | 49.80% |      1.99x     
   1291    |       859       |       159       | 81.49% |      5.40x     
   1292    |       276       |       15        | 94.57% |     18.40x     
   1293    |       312       |       18        | 94.23% |     17.33x     
   1294    |       354       |       36        | 89.83% |      9.83x     
   1295    |        1        |        1        | 0.00% |      1.00x     
   1296    |       324       |       42        | 87.04% |      7.71x     
   1297    |       256       |        1        | 99.61% |     256.00x    
   1298    |        5        |        5        | 0.00% |      1.00x     
   1299    |        1        |        1        | 0.00% |      1.00x     
   1300    |       791       |       147       | 81.42% |      5.38x     
   1301    |        1        |        1        | 0.00% |      1.00x     
   1302    |        1        |        1        | 0.00% |      1.00x     
   1303    |        1        |        1        | 0.00% |      1.00x     
   1304    |       411       |       44        | 89.29% |      9.34x     
   1305    |       287       |       16        | 94.43% |     17.94x     
   1306    |       403       |       37        | 90.82% |     10.89x     
   1307    |       312       |       21        | 93.27% |     14.86x     
   1308    |        1        |        1        | 0.00% |      1.00x     
   1309    |        5        |        5        | 0.00% |      1.00x     
   1310    |       409       |       42        | 89.73% |      9.74x     
   1311    |       58        |       58        | 0.00% |      1.00x     
   1312    |       180       |       171       | 5.00% |      1.05x     
   1313    |       256       |       87        | 66.02% |      2.94x     
   1314    |       256       |        1        | 99.61% |     256.00x    
   1315    |       256       |        1        | 99.61% |     256.00x    
   1316    |       97        |       96        | 1.03% |      1.01x     
   1317    |       256       |        1        | 99.61% |     256.00x    
   1318    |       256       |       69        | 73.05% |      3.71x     
   1319    |        1        |        1        | 0.00% |      1.00x     
   1320    |       256       |        1        | 99.61% |     256.00x    
   1321    |        1        |        1        | 0.00% |      1.00x     
   1322    |      1026       |       217       | 78.85% |      4.73x     
   1323    |       256       |       76        | 70.31% |      3.37x     
   1324    |       132       |       132       | 0.00% |      1.00x     
   1325    |       256       |        1        | 99.61% |     256.00x    
   1326    |       175       |       175       | 0.00% |      1.00x     
   1327    |       256       |        1        | 99.61% |     256.00x    
   1328    |       256       |        1        | 99.61% |     256.00x    
   1329    |       256       |        1        | 99.61% |     256.00x    
   1330    |       256       |       21        | 91.80% |     12.19x     
   1331    |       138       |       137       | 0.72% |      1.01x     
   1332    |        1        |        1        | 0.00% |      1.00x     
   1333    |        1        |        1        | 0.00% |      1.00x     
   1334    |        1        |        1        | 0.00% |      1.00x     
   1335    |        1        |        1        | 0.00% |      1.00x     
   1336    |        1        |        1        | 0.00% |      1.00x     
   1337    |        1        |        1        | 0.00% |      1.00x     
   1338    |      1027       |       219       | 78.68% |      4.69x     
   1339    |       254       |       152       | 40.16% |      1.67x     
   1340    |       89        |       89        | 0.00% |      1.00x     
   1341    |       256       |        1        | 99.61% |     256.00x    
   1342    |        1        |        1        | 0.00% |      1.00x     
   1343    |       484       |       63        | 86.98% |      7.68x     
   1344    |       357       |       28        | 92.16% |     12.75x     
   1345    |        1        |        1        | 0.00% |      1.00x     
   1346    |        4        |        4        | 0.00% |      1.00x     
   1347    |        4        |        4        | 0.00% |      1.00x     
   1348    |        1        |        1        | 0.00% |      1.00x     
   1349    |       320       |       37        | 88.44% |      8.65x     
   1350    |        5        |        5        | 0.00% |      1.00x     
   1351    |        1        |        1        | 0.00% |      1.00x     
   1352    |        1        |        1        | 0.00% |      1.00x     
   1353    |       710       |       124       | 82.54% |      5.73x     
   1354    |       256       |        1        | 99.61% |     256.00x    
   1355    |        1        |        1        | 0.00% |      1.00x     
   1356    |        1        |        1        | 0.00% |      1.00x     
   1357    |        1        |        1        | 0.00% |      1.00x     
   1358    |       489       |       89        | 81.80% |      5.49x     
   1359    |        1        |        1        | 0.00% |      1.00x     
   1360    |        1        |        1        | 0.00% |      1.00x     
   1361    |        1        |        1        | 0.00% |      1.00x     
   1362    |        1        |        1        | 0.00% |      1.00x     
   1363    |        1        |        1        | 0.00% |      1.00x     
   1364    |       631       |       100       | 84.15% |      6.31x     
   1365    |       607       |       133       | 78.09% |      4.56x     
   1366    |       332       |       17        | 94.88% |     19.53x     
   1367    |       297       |       21        | 92.93% |     14.14x     
   1368    |       333       |       22        | 93.39% |     15.14x     
   1369    |       329       |       18        | 94.53% |     18.28x     
   1370    |       329       |       18        | 94.53% |     18.28x     
   1371    |       75        |       75        | 0.00% |      1.00x     
   1372    |       256       |        1        | 99.61% |     256.00x    
   1373    |        1        |        1        | 0.00% |      1.00x     
   1374    |       230       |       206       | 10.43% |      1.12x     
   1375    |       256       |        1        | 99.61% |     256.00x    
   1376    |       250       |       183       | 26.80% |      1.37x     
   1377    |        1        |        1        | 0.00% |      1.00x     
   1378    |       255       |       90        | 64.71% |      2.83x     
   1379    |        8        |        8        | 0.00% |      1.00x     
   1380    |        4        |        4        | 0.00% |      1.00x     
   1381    |        1        |        1        | 0.00% |      1.00x     
   1382    |        1        |        1        | 0.00% |      1.00x     
   1383    |        1        |        1        | 0.00% |      1.00x     
   1384    |        1        |        1        | 0.00% |      1.00x     
   1385    |        1        |        1        | 0.00% |      1.00x     
   1386    |       987       |       206       | 79.13% |      4.79x     
   1387    |       137       |       137       | 0.00% |      1.00x     
   1388    |       182       |       181       | 0.55% |      1.01x     
   1389    |       233       |       213       | 8.58% |      1.09x     
   1390    |       256       |       20        | 92.19% |     12.80x     
   1391    |        5        |        5        | 0.00% |      1.00x     
   1392    |       183       |       176       | 3.83% |      1.04x     
   1393    |        1        |        1        | 0.00% |      1.00x     
   1394    |        1        |        1        | 0.00% |      1.00x     
   1395    |       243       |       211       | 13.17% |      1.15x     
   1396    |        1        |        1        | 0.00% |      1.00x     
   1397    |        1        |        1        | 0.00% |      1.00x     
   1398    |        1        |        1        | 0.00% |      1.00x     
   1399    |        1        |        1        | 0.00% |      1.00x     
   1400    |      1009       |       202       | 79.98% |      5.00x     
   1401    |       23        |       23        | 0.00% |      1.00x     
   1402    |        1        |        1        | 0.00% |      1.00x     
   1403    |       256       |        1        | 99.61% |     256.00x    
   1404    |       15        |       15        | 0.00% |      1.00x     
   1405    |       186       |       182       | 2.15% |      1.02x     
   1406    |        1        |        1        | 0.00% |      1.00x     
   1407    |        1        |        1        | 0.00% |      1.00x     
   1408    |        1        |        1        | 0.00% |      1.00x     
   1409    |       256       |       11        | 95.70% |     23.27x     
   1410    |        1        |        1        | 0.00% |      1.00x     
   1411    |      1002       |       202       | 79.84% |      4.96x     
   1412    |       129       |       129       | 0.00% |      1.00x     
   1413    |       58        |       58        | 0.00% |      1.00x     
   1414    |       252       |       195       | 22.62% |      1.29x     
   1415    |       17        |       17        | 0.00% |      1.00x     
   1416    |       157       |       157       | 0.00% |      1.00x     
   1417    |       256       |       56        | 78.12% |      4.57x     
   1418    |        1        |        1        | 0.00% |      1.00x     
   1419    |       226       |       212       | 6.19% |      1.07x     
   1420    |        1        |        1        | 0.00% |      1.00x     
   1421    |       256       |        1        | 99.61% |     256.00x    
   1422    |        4        |        4        | 0.00% |      1.00x     
   1423    |        1        |        1        | 0.00% |      1.00x     
   1424    |       985       |       203       | 79.39% |      4.85x     
   1425    |       256       |        1        | 99.61% |     256.00x    
   1426    |       79        |       79        | 0.00% |      1.00x     
   1427    |       254       |       112       | 55.91% |      2.27x     
   1428    |       256       |        2        | 99.22% |     128.00x    
   1429    |       256       |        1        | 99.61% |     256.00x    
   1430    |       256       |        1        | 99.61% |     256.00x    
   1431    |       253       |       167       | 33.99% |      1.51x     
   1432    |        3        |        3        | 0.00% |      1.00x     
   1433    |       256       |        1        | 99.61% |     256.00x    
   1434    |       256       |        3        | 98.83% |     85.33x     
   1435    |        1        |        1        | 0.00% |      1.00x     
   1436    |        1        |        1        | 0.00% |      1.00x     
   1437    |        3        |        3        | 0.00% |      1.00x     
   1438    |        1        |        1        | 0.00% |      1.00x     
   1439    |       947       |       192       | 79.73% |      4.93x     
   1440    |        1        |        1        | 0.00% |      1.00x     
   1441    |       253       |       146       | 42.29% |      1.73x     
   1442    |       256       |       42        | 83.59% |      6.10x     
   1443    |       256       |        1        | 99.61% |     256.00x    
   1444    |       203       |       198       | 2.46% |      1.03x     
   1445    |        1        |        1        | 0.00% |      1.00x     
   1446    |       256       |        1        | 99.61% |     256.00x    
   1447    |       256       |        1        | 99.61% |     256.00x    
   1448    |        1        |        1        | 0.00% |      1.00x     
   1449    |       256       |        1        | 99.61% |     256.00x    
   1450    |        3        |        3        | 0.00% |      1.00x     
   1451    |        3        |        3        | 0.00% |      1.00x     
   1452    |      1006       |       200       | 80.12% |      5.03x     
   1453    |       256       |        1        | 99.61% |     256.00x    
   1454    |       256       |        1        | 99.61% |     256.00x    
   1455    |        1        |        1        | 0.00% |      1.00x     
   1456    |       256       |        1        | 99.61% |     256.00x    
   1457    |       144       |       144       | 0.00% |      1.00x     
   1458    |       124       |       124       | 0.00% |      1.00x     
   1459    |       256       |        1        | 99.61% |     256.00x    
   1460    |       246       |       183       | 25.61% |      1.34x     
   1461    |        1        |        1        | 0.00% |      1.00x     
   1462    |       256       |        1        | 99.61% |     256.00x    
   1463    |        4        |        4        | 0.00% |      1.00x     
   1464    |        4        |        4        | 0.00% |      1.00x     
   1465    |        4        |        4        | 0.00% |      1.00x     
   1466    |       973       |       208       | 78.62% |      4.68x     
   1467    |       256       |       64        | 75.00% |      4.00x     
   1468    |       218       |       211       | 3.21% |      1.03x     
   1469    |        1        |        1        | 0.00% |      1.00x     
   1470    |       227       |       204       | 10.13% |      1.11x     
   1471    |        5        |        5        | 0.00% |      1.00x     
   1472    |       256       |        1        | 99.61% |     256.00x    
   1473    |        9        |        9        | 0.00% |      1.00x     
   1474    |       256       |       23        | 91.02% |     11.13x     
   1475    |        1        |        1        | 0.00% |      1.00x     
   1476    |        1        |        1        | 0.00% |      1.00x     
   1477    |        1        |        1        | 0.00% |      1.00x     
   1478    |       850       |       164       | 80.71% |      5.18x     
   1479    |        1        |        1        | 0.00% |      1.00x     
   1480    |        1        |        1        | 0.00% |      1.00x     
   1481    |        1        |        1        | 0.00% |      1.00x     
   1482    |        1        |        1        | 0.00% |      1.00x     
   1483    |        4        |        4        | 0.00% |      1.00x     
   1484    |        1        |        1        | 0.00% |      1.00x     
   1485    |        1        |        1        | 0.00% |      1.00x     
   1486    |       704       |       116       | 83.52% |      6.07x     
   1487    |       358       |       114       | 68.16% |      3.14x     
   1488    |       329       |       18        | 94.53% |     18.28x     
   1489    |       337       |       90        | 73.29% |      3.74x     
   1490    |       285       |       30        | 89.47% |      9.50x     
   1491    |       408       |       41        | 89.95% |      9.95x     
   1492    |       344       |       88        | 74.42% |      3.91x     
   1493    |       268       |       24        | 91.04% |     11.17x     
   1494    |       335       |       15        | 95.52% |     22.33x     
   1495    |       256       |        1        | 99.61% |     256.00x    
   1496    |        5        |        5        | 0.00% |      1.00x     
   1497    |       11        |       11        | 0.00% |      1.00x     
   1498    |       255       |       104       | 59.22% |      2.45x     
   1499    |        6        |        6        | 0.00% |      1.00x     
   1500    |       256       |        1        | 99.61% |     256.00x    
   1501    |       256       |        1        | 99.61% |     256.00x    
   1502    |        1        |        1        | 0.00% |      1.00x     
   1503    |       230       |       222       | 3.48% |      1.04x     
   1504    |       256       |        1        | 99.61% |     256.00x    
   1505    |        1        |        1        | 0.00% |      1.00x     
   1506    |      1026       |       217       | 78.85% |      4.73x     
   1507    |       256       |       54        | 78.91% |      4.74x     
   1508    |       256       |       49        | 80.86% |      5.22x     
   1509    |       159       |       158       | 0.63% |      1.01x     
   1510    |       256       |        3        | 98.83% |     85.33x     
   1511    |       256       |        1        | 99.61% |     256.00x    
   1512    |       196       |       194       | 1.02% |      1.01x     
   1513    |       256       |        2        | 99.22% |     128.00x    
   1514    |       256       |        1        | 99.61% |     256.00x    
   1515    |       255       |       42        | 83.53% |      6.07x     
   1516    |        3        |        3        | 0.00% |      1.00x     
   1517    |        1        |        1        | 0.00% |      1.00x     
   1518    |        1        |        1        | 0.00% |      1.00x     
   1519    |      1002       |       203       | 79.74% |      4.94x     
   1520    |       256       |        1        | 99.61% |     256.00x    
   1521    |       171       |       170       | 0.58% |      1.01x     
   1522    |       256       |       62        | 75.78% |      4.13x     
   1523    |       200       |       198       | 1.00% |      1.01x     
   1524    |       256       |        1        | 99.61% |     256.00x    
   1525    |        1        |        1        | 0.00% |      1.00x     
   1526    |       205       |       200       | 2.44% |      1.02x     
   1527    |       202       |       200       | 0.99% |      1.01x     
   1528    |       157       |       157       | 0.00% |      1.00x     
   1529    |       256       |        1        | 99.61% |     256.00x    
   1530    |        1        |        1        | 0.00% |      1.00x     
   1531    |       992       |       199       | 79.94% |      4.98x     
   1532    |       256       |       127       | 50.39% |      2.02x     
   1533    |       205       |       197       | 3.90% |      1.04x     
   1534    |       256       |        1        | 99.61% |     256.00x    
   1535    |       256       |       50        | 80.47% |      5.12x     
   1536    |       240       |       200       | 16.67% |      1.20x     
   1537    |       256       |        1        | 99.61% |     256.00x    
   1538    |       248       |       198       | 20.16% |      1.25x     
   1539    |       256       |       31        | 87.89% |      8.26x     
   1540    |       193       |       188       | 2.59% |      1.03x     
   1541    |        1        |        1        | 0.00% |      1.00x     
   1542    |        1        |        1        | 0.00% |      1.00x     
   1543    |        1        |        1        | 0.00% |      1.00x     
   1544    |      1011       |       212       | 79.03% |      4.77x     
   1545    |       246       |       183       | 25.61% |      1.34x     
   1546    |       256       |        1        | 99.61% |     256.00x    
   1547    |       202       |       199       | 1.49% |      1.02x     
   1548    |        1        |        1        | 0.00% |      1.00x     
   1549    |       256       |       100       | 60.94% |      2.56x     
   1550    |       256       |        1        | 99.61% |     256.00x    
   1551    |        1        |        1        | 0.00% |      1.00x     
   1552    |        1        |        1        | 0.00% |      1.00x     
   1553    |       762       |       135       | 82.28% |      5.64x     
   1554    |       129       |       129       | 0.00% |      1.00x     
   1555    |       407       |       41        | 89.93% |      9.93x     
   1556    |       347       |       38        | 89.05% |      9.13x     
   1557    |        1        |        1        | 0.00% |      1.00x     
   1558    |        1        |        1        | 0.00% |      1.00x     
   1559    |       480       |       60        | 87.50% |      8.00x     
   1560    |       504       |       99        | 80.36% |      5.09x     
   1561    |        1        |        1        | 0.00% |      1.00x     
   1562    |       11        |       11        | 0.00% |      1.00x     
   1563    |        1        |        1        | 0.00% |      1.00x     
   1564    |       408       |       43        | 89.46% |      9.49x     
   1565    |       288       |       10        | 96.53% |     28.80x     
   1566    |       746       |       162       | 78.28% |      4.60x     
   1567    |       11        |       11        | 0.00% |      1.00x     
   1568    |        1        |        1        | 0.00% |      1.00x     
   1569    |       404       |       39        | 90.35% |     10.36x     
   1570    |       371       |       34        | 90.84% |     10.91x     
   1571    |       486       |       107       | 77.98% |      4.54x     
   1572    |       403       |       38        | 90.57% |     10.61x     
   1573    |       333       |       23        | 93.09% |     14.48x     
   1574    |       333       |       23        | 93.09% |     14.48x     
   1575    |       333       |       23        | 93.09% |     14.48x     
   1576    |        1        |        1        | 0.00% |      1.00x     
   1577    |        6        |        6        | 0.00% |      1.00x     
   1578    |        1        |        1        | 0.00% |      1.00x     
   1579    |       413       |       46        | 88.86% |      8.98x     
   1580    |       256       |        1        | 99.61% |     256.00x    
   1581    |       271       |       15        | 94.46% |     18.07x     
   1582    |       480       |       58        | 87.92% |      8.28x     
   1583    |       320       |       66        | 79.38% |      4.85x     
   1584    |        1        |        1        | 0.00% |      1.00x     
   1585    |       406       |       41        | 89.90% |      9.90x     
--------------------------------------------------------------------------------
  Total    |     339604      |      63205      | 81.39% |      5.37x     
